fund_id,PC1,PC2,PC3,PC4,PC5,PC6,PC7,cluster_kmeans,cluster_hac,name,beta_Mkt_RF_5y,rsquared_5y,vol_ann_5y
62704,-0.8508263868871846,2.1378745085674273,2.1705733491890506,0.5943835170126308,1.3654312434773714,-0.828852151572395,-1.415033161745335,0,1,"MSS GLOBAL BRANDS ""AH"" (EURHDG)",0.6089696798651687,0.34718429572160103,13.68207215074875
62791,2.0094027065046425,-5.858117166985576,3.3034168202169516,1.7039970430279365,0.6683252962973012,0.1542306258772564,-0.6395128008236453,0,1,"INVESCO GLB INC REAL EST SEC ""A"" (USD)",0.6446723697218202,0.3756965366912236,11.399600113663277
62797,-5.7446320977052565,-2.7855963428184585,1.5190023327340811,2.104517392930799,0.631130124708142,0.9634387056119222,0.4752849120302246,1,0,"THREADNEEDLE HY BD ""2"" IGA(GBP).",0.24584056796932288,0.3181133886184465,4.721670171175662
62962,2.139766794565683,1.5804451851391472,3.0412500986044164,0.7989098850512816,-0.8603622856999196,-1.5859297946434665,-0.05673644645731607,0,1,"PICTET GLB MGTRND SELCTN ""R"" ACC",0.7555892819490136,0.41554095548681635,15.512458820883836
62979,-5.549361520313781,-2.53068219103869,1.399882689568234,1.7800162036822837,-0.004893445388030049,0.10900425666675956,-0.5017192373394912,1,0,"NORDEA 1 US HIGH YIEL ""HBI"" (EURHDG)",0.2610908293952225,0.3339795901976217,4.991317218178833
63007,-0.13184749299918241,3.121001683630073,3.7156672223577583,0.3428182440485122,0.29478453795165194,-0.7669930273371897,-1.6649973332919545,0,1,"PICTET GLB MGTRND SELCTN ""I"" (EUR) ACC",0.6420529168148158,0.3208027612084382,15.537141863035975
63022,-3.5196066496467076,-0.9200810546449764,-1.335353347995083,-3.1729414063343135,-1.5328815763781731,-0.5062180840169987,0.34255009292589733,1,0,FRANKLIN GLOBAL FUNDAMENTAL STRATEGIES N,0.4265739970332762,0.37362734621796356,10.618399715679878
63137,6.243403041074517,1.5699973067378183,-1.7440733298890259,-4.10322023808629,-1.4267150666671258,-0.8485849586523726,4.271168037967984,0,1,"INVESTEC GLOBAL NAT RESOURCES ""A"" (USD)",0.9383101832053595,0.36779257035098345,22.784760909083715
63144,1.9644104395685287,0.7209109117488354,-0.13859764377952297,-1.3759144441677256,-0.6622077356489405,-1.497615528688801,-1.6229767679997102,0,1,"NORDEA 1 EMERGING WEA ""BP"" (EUR)",0.8136484280747007,0.4521105520216603,16.172633882225934
63145,1.982501667667456,0.568419733829881,-0.3271606959568955,-1.4567302203767518,-0.6077599429675214,-1.6105366254531956,-1.6675751097900278,0,1,"NORDEA 1 EMERGING WEA ""E"" (EUR)",0.8158491674897154,0.45364216885315045,16.171200602239537
