rebalance_date,rank,symbol,score,weight
2016-05-31,5,NVDA,1.8374746261286417,0.05
2016-05-31,6,CPB,1.4496710712222673,0.05
2016-05-31,7,META,1.3555556122796224,0.05
2016-05-31,8,NI,1.3178896855907822,0.05
2016-05-31,9,ISRG,1.2996109018987947,0.05
2016-05-31,10,O,1.286742668686436,0.05
2016-05-31,11,HRL,1.2711122176050462,0.05
2016-05-31,12,MAT,1.2457929014496478,0.05
2016-05-31,13,CVC-201606,1.2294396599975728,0.05
2016-05-31,14,SCG-201812,1.220056000756268,0.05
2016-05-31,15,STZ,1.1849004072674276,0.05
2016-05-31,16,AMZN,1.154817999571645,0.05
2016-05-31,17,TPR,1.1426279060930047,0.05
2016-05-31,18,ADT-201604,1.1313295622106958,0.05
2016-05-31,19,TWC-201605,1.1268780637607632,0.05
2016-05-31,20,MCD,1.1230974065620585,0.05
2016-06-30,1,NVDA,2.7635004813162114,0.05
2016-06-30,2,NEM,2.109294130856296,0.05
2016-06-30,3,TSN,1.612455390351434,0.05
2016-06-30,4,OKE,1.5330385661842003,0.05
2016-06-30,5,DG,1.4560165010400974,0.05
2016-06-30,6,EW,1.4182774781655878,0.05
2016-06-30,7,MAT,1.3894162559335514,0.05
2016-06-30,8,EQIX,1.3377509591503345,0.05
2016-06-30,9,AMZN,1.3194061353610143,0.05
2016-06-30,10,O,1.3053244478899224,0.05
2016-06-30,11,WYNN,1.3011337779123637,0.05
2016-06-30,12,NI,1.2908053971234534,0.05
2016-06-30,13,AMAT,1.2754066200830978,0.05
2016-06-30,14,CNP,1.2663475085578646,0.05
2016-06-30,15,META,1.2287808757206116,0.05
2016-06-30,16,SCG-201812,1.207745743760802,0.05
2016-06-30,17,WEC,1.1811904186909907,0.05
2016-06-30,18,CINF,1.1652048996152349,0.05
2016-06-30,19,ISRG,1.1487408059034387,0.05
2016-06-30,20,VTR,1.1182315981756128,0.05
2016-07-31,1,NEM,2.9700975067108826,0.05
2016-07-31,2,NVDA,2.489577159115855,0.05
2016-07-31,3,OKE,2.264981806492526,0.05
2016-07-31,4,O,1.6593071810695634,0.05
2016-07-31,5,IRM,1.607848260624401,0.05
2016-07-31,6,NI,1.5521086598881584,0.05
2016-07-31,7,EQIX,1.440976214229541,0.05
2016-07-31,8,SE-201702,1.4278143675574575,0.05
2016-07-31,9,MLM,1.4128638145198007,0.05
2016-07-31,10,CINF,1.3878781117243575,0.05
2016-07-31,11,TSN,1.3712404993561214,0.05
2016-07-31,12,SCG-201812,1.362075140405024,0.05
2016-07-31,13,WEC,1.3443667722936392,0.05
2016-07-31,14,EIX,1.3373721864295935,0.05
2016-07-31,15,CMS,1.3239188462702431,0.05
2016-07-31,16,PNW,1.2930188099860032,0.05
2016-07-31,17,VTR,1.2848476537724907,0.05
2016-07-31,18,AEE,1.2485023605712868,0.05
2016-07-31,19,WM,1.2366296938809351,0.05
2016-07-31,20,ED,1.2348562170450679,0.05
2016-08-31,1,NEM,4.027550062046576,0.05
2016-08-31,2,NVDA,3.914637749778991,0.05
2016-08-31,3,FCX,2.97332111540845,0.05
2016-08-31,4,OKE,1.8934287091780766,0.05
2016-08-31,5,AMAT,1.7199043203957278,0.05
2016-08-31,6,IRM,1.6741441503699495,0.05
2016-08-31,7,TSN,1.6345715305706099,0.05
2016-08-31,8,GRMN,1.614719007590423,0.05
2016-08-31,9,MLM,1.5892831148622615,0.05
2016-08-31,10,EW,1.576241309641267,0.05
2016-08-31,11,LLTC-201703,1.4924287700354308,0.05
2016-08-31,12,URI,1.4680303420939684,0.05
2016-08-31,13,NFX-201902,1.3473856896291085,0.05
2016-08-31,14,O,1.269457024724551,0.05
2016-08-31,15,MAS,1.2588435280410626,0.05
2016-08-31,16,VMC,1.2565894415937904,0.05
2016-08-31,17,BSX,1.2450535629048947,0.05
2016-08-31,18,VTR,1.2434815652190447,0.05
2016-08-31,19,STJ-201701,1.2406470446746043,0.05
2016-08-31,20,SYY,1.189774866447762,0.05
